Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_71,1xMIC,0.6484,0.657,0.6839,0.8302,0.7378,0.589,0.69105
drug_71,2xMIC,0.4308,0.4144,0.3761,0.369,0.4033,0.4413,0.40581666666666666
drug_72,0.000xMIC,0.9205,0.9566,0.9631,0.9542,1.0033,0.9585,0.9593666666666666
drug_72,0.25xMIC,0.9021,0.9477,0.937,0.9385,0.9144,0.9138,0.9255833333333334
drug_72,0.5xMIC,0.8019,0.7525,0.8102,0.7187,0.8005,0.7883,0.7786833333333334
drug_72,1xMIC,0.5032,0.5612,0.5667,0.5608,0.5758,0.5422,0.55165
drug_73,0.000xMIC,0.9148,0.9967,0.9497,0.9163,0.9063,0.8938,0.9296000000000001
drug_73,0.5xMIC,0.6351,0.5794,0.504,0.5632,0.4814,0.4959,0.5431666666666667
drug_73,1xMIC,0.4793,0.4825,0.4772,0.4661,0.3946,0.4188,0.45308333333333334
drug_73,2xMIC,0.4113,0.396,0.4827,0.4244,0.41100000000000003,0.444,0.4282333333333333
drug_74,0.000xMIC,1.1497,1.0915,0.9461,1.1674,1.0544,1.0523,1.0769
drug_74,0.125xMIC,0.8093,0.8131,0.821,0.7876,0.8193,0.7971,0.8079000000000001
drug_74,0.25xMIC,0.5898,0.5978,0.5434,0.4835,0.5005,0.5455,0.5434166666666667
drug_74,0.5xMIC,0.3894,0.3337,0.3349,0.2828,0.3634,0.3699,0.34568333333333334
drug_75,0.000xMIC,0.9701,0.9173,0.8859,0.8661,0.9229,1.0166,0.9298166666666665
drug_75,0.5xMIC,0.8977,0.8409,0.7979,0.8712,0.735,0.8759,0.8364333333333334
drug_75,1xMIC,0.7241,0.6064,0.8122,0.7398,0.7501,0.5854,0.703
drug_75,2xMIC,0.3363,0.2814,0.3845,0.4002,0.3107,0.4442,0.35955000000000004
drug_76,0.000xMIC,1.103,1.2292,1.1023,1.196,1.0586,0.9074,1.0994166666666667
drug_76,1xMIC,0.92,1.167,0.9566,1.038,0.9869,0.9292,0.9996166666666667
drug_76,2xMIC,0.7597,0.7192,0.6987,0.7675,0.7311,0.7755,0.74195
drug_76,4xMIC,0.48100000000000004,0.4806,0.4614,0.3307,0.3634,0.4166,0.42228333333333334
drug_77,0.000xMIC,1.2582,1.0836,1.1173,1.0838,1.1293,1.0719,1.1240166666666667
drug_77,2xMIC,1.1502,1.159,1.178,1.0114,1.0753,1.1228,1.1161166666666666
drug_77,4xMIC,1.0603,1.0454,0.9221,0.9633,0.8734,0.7390000000000001,0.9339166666666667
drug_77,8xMIC,0.6906,0.7362,0.701,0.7575,0.6321,0.6454,0.6938
drug_78,0.000xMIC,1.0155,1.0448,1.0554,1.0091,0.9540000000000001,1.0566,1.0225666666666664
drug_78,2xMIC,0.5487,0.5073,0.49,0.4748,0.4706,0.4775,0.4948166666666667
drug_78,4xMIC,0.3916,0.3795,0.3823,0.3869,0.3833,0.3684,0.38199999999999995
drug_78,8xMIC,0.34299999999999997,0.3606,0.3439,0.3318,0.3567,0.3308,0.34446666666666664
drug_79,0.000xMIC,1.0504,1.057,1.2182,1.0556,1.0009,0.9626,1.05745
drug_79,0.125xMIC,0.9791,1.0322,1.0047,1.0028,0.9752,1.0653,1.0098833333333332
drug_79,0.25xMIC,0.9118,0.8547,0.9307,0.9306,0.8119,0.8672,0.8844833333333334
drug_79,0.5xMIC,0.5839,0.5858,0.6595,0.6409,0.5244,0.5451,0.5899333333333333
drug_8,0.000xMIC,1.0532,1.0904,0.8826,0.9490000000000001,1.0034,0.9,0.9797666666666668
drug_8,1xMIC,1.0636,1.1802,1.13,1.0218,0.934,1.1502,1.0799666666666667
drug_8,2xMIC,0.9191,1.064,0.8693,0.8596,1.0227,0.9865,0.9535333333333335
drug_8,4xMIC,0.3286,0.3526,0.3462,0.3663,0.3462,0.3387,0.34643333333333337
drug_80,0.000xMIC,1.0497,1.1869,1.1044,1.1504,1.275,1.1811,1.1579166666666667
drug_80,0.25xMIC,0.9904,1.0179,0.9192,0.9563,1.0075,1.0069,0.9830333333333333
drug_80,0.5xMIC,0.9108,0.8736,0.9834,0.9446,0.9544,0.8678,0.9224333333333333
drug_80,1xMIC,0.6367,0.5955,0.644,0.6427,0.5926,0.5459,0.6095666666666667
drug_81,0.000xMIC,0.9996,0.9543,1.3037,0.9823,0.9768,1.0639,1.0467666666666668
drug_81,0.5xMIC,0.5596,0.6541,0.534,0.5748,0.5499,0.5820000000000001,0.5757333333333333
drug_81,1xMIC,0.4169,0.41200000000000003,0.4031,0.4011,0.4271,0.4257,0.41431666666666667
drug_81,2xMIC,0.3903,0.4424,0.4368,0.4402,0.4836,0.4206,0.4356499999999999
drug_82,0.000xMIC,1.1515,1.0202,1.0904,0.9633,1.1539,0.985,1.0607166666666668
drug_82,0.25xMIC,0.7317,0.9135,0.8859,0.7291,0.8064,0.7614,0.8046666666666665
drug_82,0.5xMIC,0.6267,0.6211,0.5439,0.6752,0.7343,0.5856,0.6311333333333333
drug_82,1xMIC,0.415,0.3588,0.4065,0.4667,0.4547,0.4283,0.42166666666666663
drug_83,0.000xMIC,0.9772,1.0389,1.0609,1.0717,1.1515,0.9167,1.03615
drug_83,0.5xMIC,1.012,1.0574,1.028,1.0621,1.0742,0.9826,1.03605
drug_83,1xMIC,0.9441,0.9921,0.9608,0.9968,0.9389,0.9726,0.96755
drug_83,2xMIC,0.7927,0.8411,0.773,0.8213,0.6573,0.6978,0.7638666666666666
drug_84,0.000xMIC,1.0725,1.1058,0.9521,0.9615,1.2089,1.1877,1.0814166666666667
drug_84,0.125xMIC,0.8341,0.9066,0.9264,1.0603,0.9758,0.8572,0.9267333333333334
drug_84,0.25xMIC,0.9317,0.9012,0.8408,0.8645,0.6722,0.7638,0.8290333333333333
drug_84,0.5xMIC,0.5379,0.4496,0.4638,0.4582,0.4306,0.4307,0.4618
drug_85,0.000xMIC,0.9896,1.0276,1.0109,1.0264,1.046,1.0534,1.02565
drug_85,2xMIC,0.5286,0.4661,0.5628,0.5806,0.4607,0.4911,0.5149833333333332
drug_85,4xMIC,0.4999,0.5308,0.4989,0.5048,0.5096,0.4991,0.5071833333333332
drug_85,8xMIC,0.3681,0.3922,0.3597,0.344,0.2463,0.2256,0.32265
drug_86,0.000xMIC,1.0918,1.1868,1.0868,1.0849,1.1439,1.0665,1.1101166666666666
drug_86,0.5xMIC,0.9758,1.1394,1.1951,1.1963,1.1437,1.1249,1.1292
drug_86,1xMIC,0.9601,0.9725,1.089,1.1402,1.0413,0.8602,1.0105499999999998
drug_86,2xMIC,0.6938,0.6839,0.4744,0.6389,0.6169,0.5953,0.6172
drug_9,0.000xMIC,0.9661,0.9309,0.9486,1.0167,0.9066,1.0622,0.9718499999999999
drug_9,1xMIC,0.718,0.7382,0.8138,0.8266,0.853,0.86,0.8016000000000001
drug_9,2xMIC,0.5337,0.588,0.5931,0.6231,0.6702,0.6581,0.6110333333333333
drug_9,4xMIC,0.6453,0.6175,0.6722,0.6119,0.6688,0.6753,0.6485
