Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_23,0.5xMIC,0.8237,0.7157,0.7432,0.7094,0.6925,0.7203,0.7341333333333333
drug_23,1xMIC,0.4835,0.4546,0.429,0.38,0.3566,0.3446,0.40804999999999997
drug_24,0.000xMIC,1.0311,0.9547,1.0305,1.0525,0.9009999999999999,0.9227,0.9820833333333332
drug_24,0.25xMIC,0.8616,0.9128,0.9949,0.9196,0.9158,0.8942,0.9164833333333332
drug_24,0.5xMIC,0.8752,0.8174,0.8643,0.7518,0.7436,0.7495,0.8003
drug_24,1xMIC,0.5224,0.531,0.5407,0.507,0.4844,0.4587,0.5073666666666666
drug_25,0.000xMIC,1.0785,1.1435,1.1495,1.0188,1.0735,1.0792,1.0905
drug_25,0.25xMIC,0.93,0.9338,0.8503,0.9088,0.9645,0.8794,0.9111333333333332
drug_25,0.5xMIC,0.7409,0.7722,0.7162,0.7773,0.7718,0.6533,0.7386166666666667
drug_25,1xMIC,0.4599,0.4383,0.4011,0.4296,0.3948,0.3798,0.41724999999999995
drug_26,0.000xMIC,1.0509,0.9781,1.0427,1.0296,0.9545,1.0072,1.0105000000000002
drug_26,0.125xMIC,0.9327,1.0959,1.0069,1.0194,0.9536,0.8602,0.9781166666666666
drug_26,0.25xMIC,1.074,0.9057,1.0519,1.055,0.9293,0.9019,0.9863000000000001
drug_26,0.5xMIC,0.6421,0.5958,0.6833,0.5387,0.524,0.5512,0.5891833333333334
drug_27,0.000xMIC,1.0125,1.0273,1.0008,0.9488,0.9162,0.9737,0.9798833333333333
drug_27,0.125xMIC,0.9399,0.9492,0.8897,0.9115,0.9157,0.8781,0.9140166666666666
drug_27,0.25xMIC,0.7594,0.8311,0.8173,0.797,0.7887,0.7638,0.7928833333333333
drug_27,0.5xMIC,0.7099,0.7127,0.3953,0.6566,0.7067,0.2668,0.5746666666666667
drug_28,0.000xMIC,1.2668,1.3173,1.0076,1.0314,1.0504,1.0758,1.1248833333333332
drug_28,2xMIC,0.9743,0.9167,0.9293,0.8365,0.7789,0.7655,0.8668666666666667
drug_28,4xMIC,0.5583,0.5351,0.6841,0.6621,0.5369,0.5505,0.5878333333333333
drug_28,8xMIC,0.3963,0.4698,0.4048,0.2374,0.1854,0.1618,0.30924999999999997
drug_29,0.000xMIC,1.0745,1.2762,0.9194,1.1358,1.1656,0.9056,1.0795166666666667
drug_29,0.125xMIC,1.1828,1.0104,1.1818,1.1259,1.1687,1.122,1.1319333333333332
drug_29,0.25xMIC,1.0979,0.9758,0.8961,0.9561,0.9989,0.9033,0.97135
drug_29,0.5xMIC,0.9466,0.8540000000000001,1.0099,0.7438,0.6984,0.6046,0.8095500000000001
drug_3,0.000xMIC,0.8994,0.98,0.9721,0.8751,1.0263,0.8501,0.9338333333333333
drug_3,0.25xMIC,0.8177,0.8387,0.8092,0.8375,0.865,0.7899,0.8263333333333334
drug_3,0.5xMIC,0.7584,0.7315,0.7542,0.8257,0.9642,0.9213,0.8258833333333332
drug_3,1xMIC,0.3473,0.4051,0.3399,0.3971,0.3935,0.3868,0.3782833333333333
drug_30,0.000xMIC,0.941,1.0712,0.9273,1.0428,0.9239,0.8381,0.9573833333333331
drug_30,0.125xMIC,1.0324,0.9251,0.9439,1.1029,0.8289,0.7989,0.9386833333333332
drug_30,0.25xMIC,1.0171,0.9406,0.7654,0.9035,0.7622,0.6741,0.8438166666666667
drug_30,0.5xMIC,0.6875,0.7088,0.7737,0.7515,0.3937,0.3084,0.6039333333333333
drug_31,0.000xMIC,0.8314,1.0663,0.9478,0.9448,1.0088,0.855,0.9423499999999999
drug_31,0.125xMIC,0.9599,0.9566,0.9916,0.9309999999999999,0.9812,0.8122,0.9387500000000001
drug_31,0.25xMIC,0.7765,0.8886,0.7301,0.813,0.6334,0.6446,0.7476999999999999
drug_31,0.5xMIC,0.4404,0.5011,0.4978,0.182,0.1117,0.1026,0.30593333333333333
drug_32,0.000xMIC,1.0216,1.0885,1.0506,1.0361,0.8763,0.8866,0.9932833333333333
drug_32,0.125xMIC,1.0566,1.1059,0.8892,0.8574,1.1004,1.0611,1.0117666666666667
drug_32,0.25xMIC,0.75,0.9961,0.6781,0.8133,0.6829999999999999,0.6798,0.7667166666666666
drug_32,0.5xMIC,0.4887,0.4742,0.2475,0.2993,0.2701,0.27899999999999997,0.34313333333333335
drug_33,0.000xMIC,1.0776,0.888,0.8824,0.9651,0.8031,0.8216,0.9063
drug_33,0.25xMIC,0.8519,0.9046,0.9303,0.8954,0.9038,0.9085,0.8990833333333333
drug_33,0.5xMIC,0.8055,0.8108,0.7776,0.7387,0.7801,0.7917,0.7840666666666666
drug_33,1xMIC,0.5492,0.6736,0.604,0.4628,0.4553,0.4804,0.53755
drug_34,0.000xMIC,0.9276,0.9571,0.9236,0.9127,1.0381,0.9938,0.9588166666666668
drug_34,0.25xMIC,0.9506,0.9853,0.9811,1.0193,0.9216,0.8379,0.9493
drug_34,0.5xMIC,0.9442,0.8183,0.8534,0.8146,0.8242,0.7893,0.8406666666666668
drug_34,1xMIC,0.8822,0.9354,0.8027,0.6779999999999999,0.8449,0.6494,0.7987666666666667
drug_35,0.000xMIC,0.9853,0.9959,1.0038,0.9903,0.9334,0.9155,0.9706999999999999
drug_35,0.125xMIC,0.8535,0.9428,0.9137,0.9088,0.8605,0.9787,0.9096666666666667
drug_35,0.25xMIC,0.8227,0.8362,0.9113,0.8058,0.8595,0.8351,0.8451
drug_35,0.5xMIC,0.6309,0.3905,0.4313,0.3827,0.3773,0.4126,0.43755000000000005
drug_36,0.000xMIC,0.9817,0.9506,0.8728,0.9206,0.8445,0.8203,0.8984166666666665
drug_36,0.125xMIC,0.9109,0.893,0.9386,0.892,0.8467,0.8371,0.8863833333333334
drug_36,0.25xMIC,0.8938,0.9112,0.9099,0.8552,0.7412,0.7523,0.8439333333333333
drug_36,0.5xMIC,0.7563,0.4792,0.6003,0.5837,0.5019,0.4933,0.5691166666666666
drug_37,0.000xMIC,0.9706,1.1217,0.9273,0.9262,0.8765,0.8531,0.9459
drug_37,0.125xMIC,0.988,0.929,0.8083,0.7587,0.7612,0.7786,0.8372999999999999
drug_37,0.25xMIC,0.6535,0.4528,0.4811,0.4266,0.414,0.4282,0.47603333333333336
drug_38,0.000xMIC,1.0043,0.9718,0.95,0.9515,0.9771,0.8903,0.9575
drug_38,2xMIC,1.0752,1.0215,0.9833,0.9102,0.9616,0.8721,0.97065
drug_38,4xMIC,0.9474,0.9709,0.9963,1.0622,1.0603,1.0064,1.00725
drug_38,8xMIC,1.0165,1.0764,1.0232,1.0015,0.8854,0.9613,0.99405
drug_39,0.000xMIC,0.7792,0.8246,0.8003,0.7423,0.8242,0.7513,0.7869833333333333
drug_39,2xMIC,0.7707,0.7647,0.7112,0.6462,0.6699,0.6726,0.7058833333333333
drug_39,4xMIC,0.6041,0.6433,0.4938,0.6403,0.6099,0.6465,0.6063166666666667
drug_39,8xMIC,0.4314,0.5091,0.3773,0.4938,0.4439,0.3909,0.44106666666666666
drug_4,0.000xMIC,1.0125,1.0085,1.1106,1.1939,1.0103,0.9247,1.0434166666666667
drug_4,0.5xMIC,1.0093,1.181,0.9336,0.9968,0.9669,0.941,1.0047666666666666
drug_4,1xMIC,0.799,0.8227,0.9102,0.8258,0.7432,0.8887,0.8316
drug_4,2xMIC,0.4526,0.461,0.6083,0.5962,0.5391,0.5208,0.5296666666666666
drug_40,0.000xMIC,0.9163,0.8624,0.8156,0.8211,0.8043,0.7719,0.8319333333333333
drug_40,0.5xMIC,0.6261,0.6296,0.5024,0.6244,0.5079,0.4417,0.5553499999999999
drug_40,1xMIC,0.565,0.5529999999999999,0.4435,0.5063,0.2908,0.3624,0.4535
drug_40,2xMIC,0.4773,0.3858,0.5128,0.1439,0.249,0.2007,0.32825
drug_41,0.000xMIC,1.0638,0.9369,1.0641,0.9276,0.6815,0.7949,0.9114666666666666
